# Format:
# name waist_yaw l_shoulder_pitch l_shoulder_roll l_shoulder_yaw l_elbow l_wrist_roll l_wrist_pitch l_wrist_yaw r_shoulder_pitch r_shoulder_roll r_shoulder_yaw r_elbow r_wrist_roll r_wrist_pitch r_wrist_yaw
# Derived from g1pilot config/home values.
home 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.0

card 0.0 -1.90 0.54 -0.03 0.95 -0.10 0.56 -0.18 0.95 -0.46 0.50 1.10 0.37 0.0 0.16

left_go_1 0.0 0.34 0.37 -0.18 0.73 -0.09 -0.27 0.0 0.43 -0.47 0.31 0.77 0.37 0.0 0.16
left_go_2 0.0 0.19 0.42 0.12 -0.44 -0.09 -0.06 0.0 0.42 -0.47 0.31 0.77 0.37 0.0 0.16
left_go_3 0.0 -0.41 0.42 0.12 -0.47 -0.09 -0.73 0.0 0.48 -0.47 0.20 0.48 0.37 0.0 0.16
left_go_4 0.0 -0.75 0.42 0.12 -0.47 -0.09 -0.33 0.0 0.81 -0.47 0.20 0.48 0.37 0.0 0.16
left_go_5 0.0 -1.28 0.42 0.12 -0.01 -0.09 -0.41 0.0 0.81 -0.47 0.20 0.79 0.37 0.0 0.16
left_go_6 0.0 -2.13 0.42 0.13 0.93 -0.10 -0.41 0.0 0.95 -0.46 0.50 1.10 0.37 0.0 0.16
left_go_7 0.0 -1.70 0.42 -0.03 0.87 -0.13 0.56 -0.18 0.95 -0.46 0.50 1.10 0.37 0.0 0.16

left_back_1 0.0 -2.13 0.42 0.13 0.93 -0.10 -0.41 0.0 0.95 -0.46 0.50 1.10 0.37 0.0 0.16
left_back_2 0.0 -1.28 0.42 0.12 -0.01 -0.09 -0.41 0.0 0.81 -0.47 0.20 0.79 0.37 0.0 0.16
left_back_3 0.0 -0.75 0.42 0.12 -0.47 -0.09 -0.33 0.0 0.81 -0.47 0.20 0.48 0.37 0.0 0.16
left_back_4 0.0 -0.41 0.42 0.12 -0.47 -0.09 -0.73 0.0 0.48 -0.47 0.20 0.48 0.37 0.0 0.16
left_back_5 0.0 0.19 0.42 0.12 -0.44 -0.09 -0.06 0.0 0.42 -0.47 0.31 0.77 0.37 0.0 0.16
left_back_6 0.0 0.34 0.37 -0.18 0.73 -0.09 -0.27 0.0 0.43 -0.47 0.31 0.77 0.37 0.0 0.16



pose_now1 -0.0371625 0.767026 0.219935 -0.14713 1.38052 -0.0123677 -0.315113 0.0227341 -2.21745 -0.376892 -0.180986 2.05966 0.0612873 0.00429035 -0.116187
pose_now2 -0.0114233 0.297305 0.252268 0.00975516 1.80295 -0.034982 -0.202557 0.170943 -2.39786 -1.23974 1.45906 0.270712 1.32061 -0.150438 -0.276608
pose_now3 0.0449298 0.411574 0.175557 -0.380343 1.81948 -0.349005 -0.708388 -0.0708388 -1.91344 -1.48932 0.722996 1.13871 0.182376 -0.395971 0.189974
pose_now4 0.0164051 0.285716 0.162506 -0.304867 1.8143 -0.369546 -0.706123 -0.0645111 -0.238786 -1.27035 0.465815 1.3437 0.180938 -0.499526 -0.274403
pose_now5 -0.0151328 0.0954304 0.339561 -1.15111 1.45737 -0.837338 -0.379169 0.0221468 0.16295 -0.594477 0.32216 1.43341 0.180866 -0.454478 -0.394664
pose_now6 -0.011584 0.0247954 0.290498 -0.930563 1.53511 -0.797994 0.0330884 0.0259219 0.0404468 -0.117194 0.322795 1.4719 0.181142 -0.228683 -0.413911
qpose_now_1 -0.120942 -2.155 0.386407 -0.684191 1.56508 -1.1316 0.588665 -0.0916913 0.417986 -0.286471 0.357238 1.62929 0.18421 -0.221349 -0.195571
qpose_now_2 0.0384213 -2.22584 0.731757 -0.676893 1.29155 -1.34867 -0.0443177 -0.174466 0.347243 -0.179943 0.246599 1.61982 0.185732 0.00384694 -0.195259
qpose_now_3 0.0736554 -1.17589 1.01599 -0.779238 1.29969 -1.33703 -0.414055 -0.417219 0.0313867 -0.141174 0.233345 1.60587 0.18228 0.0442458 -0.195463
qpose_now_4 0.069986 -0.282624 0.640245 -1.2295 1.31312 -1.17129 -0.413048 -0.417423 -0.0200137 -0.122922 0.232218 1.56915 0.182352 0.0447371 -0.198111
qpose_now_5 0.0717672 0.00430234 0.247414 -1.12887 1.38146 -1.19009 -0.402023 -0.128914 -0.0191748 -0.122119 0.23223 1.56949 0.182352 0.0450008 -0.198099


pose_now_1 -0.232323 -2.17888 0.603885 0.0429155 2.05479 -0.0117685 0.140443 -0.594454 1.00993 -0.533442 -0.0241362 1.08028 -0.147933 -0.634409 0.000755006
pose_now_2 -0.22943 -2.41574 0.690855 0.0293374 1.29011 -0.0200856 0.000635164 -0.172369 0.581439 -0.471723 0.172573 1.039 -0.19182 -0.674568 0.000323574
pose_now_3 -0.120112 -2.02191 1.39384 -0.402778 0.816329 -0.414714 -0.297257 -0.26158 0.304699 -0.367904 0.122694 1.06276 -0.254161 -0.651498 0.000611196
pose_now_4 -0.118558 -0.7624 1.34813 -0.205841 0.819362 -0.76258 -0.797922 -0.245161 -0.0231655 -0.316995 0.0914996 1.62938 -0.250434 -0.611196 -3.59527e-05
pose_now_5 -0.12109 -0.106959 0.909842 -0.12895 0.898266 -0.64142 -0.587167 -0.333161 -0.086622 -0.219479 -0.062318 1.54632 -0.254401 -0.0437424 -0.000239685
pose_now_6 -0.119616 0.177331 0.505818 -0.109871 1.11561 -0.188296 -0.551466 -0.351569 -0.12925 -0.179044 -0.0626895 1.52723 -0.254161 0.327265 -0.00110255
pose_now_7 -0.120045 0.177319 0.491006 -0.110099 1.11583 -0.188296 -0.551442 -0.351449 -0.096509 -0.167312 -0.0620903 1.47027 -0.254869 0.327205 -0.000778975
hand_now -0.00914666 0.0970962 0.113191 -0.0882039 1.07834 -0.0120561 0.00267248 0.0267248 -0.745754 -0.514027 0.761502 -0.294345 0.941121 0.270448 0.392495
pose_now 0.00636115 0.243519 0.290893 -0.0874249 0.824455 0.00614791 0.00546481 0.00125834 0.262299 -0.279892 0.0930575 0.792768 -0.00769387 0.00808935 0.00177367
go_1 -0.0489608 0.202569 0.13982 0.107726 1.22872 -0.0335558 0.0452524 0.0740625 0.0303321 -0.165346 0.0928418 1.43398 -0.0137699 0.0469063 -0.0849562
go_2 -0.170077 -0.546553 0.341694 0.267847 1.26846 -0.0712702 0.0865021 0.0738588 0.187206 -0.230061 0.0925542 1.50132 -0.0128591 0.0330525 -0.0842731
go_3 -0.135352 -1.32319 0.624426 0.304615 1.54634 -0.0710305 0.174778 0.0739067 0.713733 -0.274906 0.361241 1.54502 -0.0114449 -0.209137 -0.085867
go_4 -0.104068 -2.68137 0.842779 0.0600649 1.96224 0.147813 0.717124 0.0743022 1.3253 -0.398895 0.211653 0.43462 -0.0127752 -0.202989 -0.0857232
go_5 -0.133785 -2.62372 0.538523 0.304471 1.96794 0.0441379 0.850245 0.0739307 1.26142 -0.406757 0.213103 0.488597 -0.0133984 -0.202917 -0.0856273
go_6 -0.157582 -2.19152 0.416895 0.303393 1.60498 0.00973119 0.675347 0.0739067 1.34993 -0.504668 0.24956 0.381242 -0.0138657 -0.203061 -0.0855314
back_1 0.0620313 -2.74283 0.581103 0.281605 1.90197 0.0553551 0.834402 0.0739067 0.989945 -0.463406 0.243723 0.522704 -0.0287022 -0.203037 -0.0857112
back_2 0.0549068 -1.25433 0.70925 0.305945 0.970626 -0.267584 0.761897 0.0741224 1.3069 -0.424829 0.164016 0.943818 -0.0284146 -0.218532 -0.0846206
back_3 -0.0877839 -0.146627 0.496123 0.30658 0.745706 -0.266361 0.301595 0.0728881 0.737965 -0.522824 0.102225 0.956173 -0.0289419 -0.21852 -0.0826552
back_4 0.00192843 0.300421 0.380763 0.305154 0.986314 -0.265954 0.27342 0.0720971 0.272809 -0.504476 0.0929976 1.11049 -0.0291217 -0.218508 0.0734993
back_5 -0.033011 0.202402 0.0670757 0.303788 1.03024 -0.265702 0.278669 0.073655 0.0990976 -0.190178 0.0139017 1.41553 -0.0104982 -0.119615 -0.0621981
door_1 0.0935826 -0.249356 -0.0841892 1.36474 1.42467 1.44257 -0.0706949 0.256702 0.0763755 -0.12182 -0.15921 1.42268 -0.490191 0.11397 -0.0509569
door_2 0.0966225 -0.0841412 0.290042 -0.18361 0.12436 -0.383196 -0.098798 -0.0727443 0.0764474 -0.121041 -0.158827 1.42316 -0.490179 0.114258 -0.050885
door_3 0.0944263 -0.695253 0.497477 0.0703114 -0.277387 -0.660918 0.863368 -0.702563 0.0764594 -0.121724 -0.158815 1.42319 -0.490155 0.11427 -0.050921
door_4 0.0945736 -0.689644 0.624774 0.164591 -0.124025 -0.65918 0.864458 -0.702479 0.0764594 -0.121844 -0.158827 1.42316 -0.490167 0.11427 -0.050933
door_5 -0.0667586 -0.717268 0.498316 0.224021 -0.280371 -0.520547 0.931893 -0.441283 0.04101 -0.110902 -0.158851 1.42334 -0.490191 0.113766 -0.0507292
door_6 -0.0950155 -0.682034 0.486524 0.339321 -0.20523 -0.424266 0.928154 -0.486416 0.0395599 -0.101003 -0.158875 1.42329 -0.490179 0.113742 -0.0506813
door_back_1 -0.0949084 -0.551502 0.379205 0.301919 -0.635044 -0.425859 1.05786 -0.485805 0.0410699 -0.10026 -0.158851 1.4237 -0.490215 0.113814 -0.0503577
